,seller_id,within_expected_delivery_date,review_score,offer_trending_category,state_population_density,above_average
0,0015a82c2db000af6aaaf3ae2ecb0532,1.0,3.6666666666666665,0,166.25,False
1,001cca7ae9ae17fb1caed9dfb1094831,0.9444444444444444,3.9358974358974357,0,76.25,True
2,002100f778ceb8431b7a1020ff7ab48f,0.8333333333333334,4.037037037037037,1,166.25,False
3,003554e2dce176b5555353e4f3555ac8,1.0,5.0,0,17.65,False
4,004c9cd9d87a3c30c522c48c4fc07416,0.9221556886227545,4.127976190476191,1,166.25,True
5,00720abe85ba0859807595bbf045a33b,0.9230769230769231,3.6538461538461537,1,166.25,False
6,00ab3eff1b5192e5f1a63bcecfee11c8,1.0,5.0,1,166.25,False
7,00d8b143d12632bad99c0ad66ad52825,1.0,5.0,0,33.41,False
8,00ee68308b45bc5e2660cd833c3f81cc,0.9186046511627907,4.3313953488372094,1,166.25,True
9,00fc707aaaad2d31347cf883cd2dfe10,0.9555555555555556,3.77037037037037,1,52.4,True
10,010543a62bd80aa422851e79a3bc7540,1.0,4.5,1,166.25,False
11,010da0602d7774602cd1b3f5fb7b709e,1.0,1.0,0,166.25,False
12,011b0eaba87386a2ae96a7d32bb531d1,1.0,4.0,1,166.25,False
13,01266d4c46afa519678d16a8b683d325,1.0,5.0,0,52.4,False
14,013900e863eace745d3ec7614cab5b1a,1.0,4.730769230769231,0,52.4,False
15,014c0679dd340a0e338872e7ec85666a,0.8666666666666667,3.6666666666666665,0,33.41,False
16,014d9a685fd57276679edd00e07089e5,1.0,3.8333333333333335,1,52.4,False
17,0176f73cc1195f367f7b32db1e5b3aa8,0.8947368421052632,4.052631578947368,1,166.25,True
18,01bcc9d254a0143f0ce9791b960b2a47,1.0,4.4,1,17.65,False
19,01c97ebb5cdac52891c0ed1c37ba0012,1.0,4.083333333333333,1,166.25,False
20,01cf7e3d21494c41fb86034f2e714fa1,0.9538461538461539,4.2,1,52.4,False
21,01ed254b9ff8407dfb9d99ba1e17d923,1.0,5.0,1,166.25,False
22,01fd077212124329bac32490e8ef80d9,0.9743589743589743,4.3076923076923075,1,166.25,False
