seller_id,total_revenue,first_sell_date,total_months,average_monthly_revenue,above_average
0015a82c2db000af6aaaf3ae2ecb0532,2685.0,2017-09-26 22:17:05,12,223.75,False
001cca7ae9ae17fb1caed9dfb1094831,24487.030000000017,2017-02-04 19:06:04,19,1288.7910526315798,True
002100f778ceb8431b7a1020ff7ab48f,1216.6000000000001,2017-09-14 01:00:31,12,101.38333333333334,False
003554e2dce176b5555353e4f3555ac8,120.0,2017-12-15 06:52:25,9,13.333333333333334,False
004c9cd9d87a3c30c522c48c4fc07416,19435.740000000013,2017-01-27 10:34:34,20,971.7870000000006,True
00720abe85ba0859807595bbf045a33b,1007.5000000000001,2018-01-27 13:46:31,8,125.93750000000001,False
00ab3eff1b5192e5f1a63bcecfee11c8,98.0,2017-03-18 11:40:26,18,5.444444444444445,False
00d8b143d12632bad99c0ad66ad52825,86.0,2018-03-21 11:17:37,6,14.333333333333334,False
00ee68308b45bc5e2660cd833c3f81cc,20260.0,2017-09-19 01:02:44,12,1688.3333333333333,True
00fc707aaaad2d31347cf883cd2dfe10,12684.899999999992,2018-01-31 15:33:18,7,1812.1285714285702,True
010543a62bd80aa422851e79a3bc7540,1416.0,2017-07-04 17:54:07,14,101.14285714285714,False
010da0602d7774602cd1b3f5fb7b709e,849.5,2018-06-06 18:37:14,3,283.1666666666667,False
011b0eaba87386a2ae96a7d32bb531d1,99.98,2016-10-06 07:08:15,24,4.1658333333333335,False
01266d4c46afa519678d16a8b683d325,90.25,2018-08-02 16:07:38,1,90.25,False
013900e863eace745d3ec7614cab5b1a,1619.6999999999998,2017-03-04 10:02:28,19,85.24736842105263,False
014c0679dd340a0e338872e7ec85666a,7058.0,2017-01-26 00:20:22,20,352.9,False
014d9a685fd57276679edd00e07089e5,729.88,2017-11-21 13:22:00,10,72.988,False
0176f73cc1195f367f7b32db1e5b3aa8,4643.200000000001,2017-11-16 17:42:52,10,464.32000000000005,True
01bcc9d254a0143f0ce9791b960b2a47,1393.21,2017-08-12 16:25:03,13,107.17,False
01c97ebb5cdac52891c0ed1c37ba0012,577.4999999999998,2017-04-13 23:47:01,17,33.9705882352941,False
01cf7e3d21494c41fb86034f2e714fa1,9439.559999999992,2016-10-06 18:03:01,24,393.31499999999966,False
01ed254b9ff8407dfb9d99ba1e17d923,1465.99,2017-08-04 10:33:43,13,112.76846153846154,False
01fd077212124329bac32490e8ef80d9,1208.0,2018-04-16 10:44:09,5,241.6,False
01fdefa7697d26ad920e9e0346d4bd1b,14802.52999999997,2017-04-26 15:57:39,17,870.7370588235276,True
0241d4d5d36f10f80c644447315af0bd,31397.700000000103,2017-10-08 19:00:03,11,2854.336363636373,True
0249d282d911d23cb8b869ab49c99f53,393.0,2017-09-18 20:48:19,12,32.75,False
024b564ae893ce8e9bfa02c10a401ece,706.4,2016-10-05 12:41:38,24,29.433333333333334,False
028872bfa080090a9d0abd4f1af168f8,70.5,2017-08-19 09:10:45,13,5.423076923076923,False
02b72cdeb9cfcc429f1af6f4e3f3b737,522.65,2018-07-25 21:20:47,2,261.325,False
02c988090b766852e088c69d7fb3b551,1564.3700000000003,2017-07-21 17:52:29,14,111.7407142857143,False
02d35243ea2e497335cd0f076b45675d,5794.0,2017-04-29 22:33:10,17,340.8235294117647,False
02dcd3e8e25bee036e32512bcf175493,1341.9,2018-02-21 20:55:22,7,191.70000000000002,False
02ecc2a19303f05e59ce133fd923fff7,5264.190000000001,2017-06-18 18:04:34,15,350.9460000000001,False
02f5837340d7eb4f653d676c7256523a,3883.0499999999993,2017-11-01 20:55:07,10,388.30499999999995,False
02f623a8eb246f3c5f7c2f96462654e6,6378.0,2018-04-25 15:13:02,5,1275.6,True
0307f7565ff85b299b6e5ef162b1b1a9,4711.9,2016-10-10 18:09:39,23,204.86521739130433,False
0336182e1b3e92f029d5354832045fdf,29.8,2016-10-05 19:09:33,24,1.2416666666666667,False
034b9387752bfa309f350a70cd45ffa3,96.0,2018-04-11 15:53:57,5,19.2,False
038b75b729c8a9a04b0d07cba7eabe86,467.0,2018-04-20 12:29:17,5,93.4,False
039b29ff3b3473435d0cd59040575de9,114.90000000000002,2018-04-26 11:32:03,5,22.980000000000004,False
039e6ad9dae79614493083e241147386,12925.0,2018-04-03 11:35:18,5,2585.0,True
03a2a6dcbe45d639c4dc2a0d24769c40,1078.4099999999999,2018-03-13 08:11:07,6,179.73499999999999,False
03bd479e1d9484cdb14104d3023f7321,359.70000000000005,2018-05-09 17:37:03,4,89.92500000000001,False
0417b067eeab773d2f7061a726dc477f,1859.1799999999998,2018-03-01 20:13:18,6,309.8633333333333,False
042573af89b6d931f672efaf789d8358,413.48,2018-01-21 17:44:36,8,51.685,False
04308b1ee57b6625f47df1d56f00eedf,58991.80000000009,2017-11-14 16:57:33,10,5899.180000000009,True
0432ead42b6c8a0bdf68154add917fdf,7574.399999999989,2017-04-02 16:31:42,18,420.7999999999994,True
044668ccd5316b12a7cf0d54a156e3e9,137.79999999999998,2018-08-08 17:54:25,1,137.79999999999998,False
04843805947f0fc584fc1969b6e50fe7,1400.0,2018-08-05 14:55:14,1,1400.0,True
048c2757535328e0d7dac690ad3c0aae,9065.079999999994,2017-03-04 15:23:15,19,477.10947368421023,True
04aa0a1c5ce6b222003403a3e11c3cc0,5518.0,2017-03-22 17:10:13,18,306.55555555555554,False
04aba03279157f6d4e0fe8ccaf21963c,2416.0,2017-05-10 11:51:13,16,151.0,False
04e38a233f726ef161074ab1c9b0399a,991.5999999999997,2017-09-15 00:53:25,12,82.63333333333331,False
04ee0ec01589969663ba5967c0e0bdc0,289.49,2018-08-21 11:29:05,1,289.49,False
04fdea0c111866e6cf812f1570d6b5bd,865.0,2017-10-14 09:11:45,11,78.63636363636364,False
0509040ea3fe50071181bbc359eb7738,3689.3500000000054,2017-05-03 14:22:02,17,217.02058823529444,False
